ano,semana,subregion,red,microred,e_salud,ubigeo,feb_m1,feb_1_4,feb_5_9,feb_10_19,feb_20_59,feb_m60,fecha_ing,clave,estado,feb_tot,fecha_not,fecha_ate,tot_aten
2006,42,52,5,0,150107A201,150107,0,0,0,0,1,0,21-10-2006,,1,1,22-10-2006,,0
2006,42,52,5,0,150107A201,150107,0,1,0,0,0,0,21-10-2006,,1,1,22-10-2006,,0
2006,42,52,5,0,150107A201,150107,0,0,1,0,0,0,21-10-2006,,1,1,22-10-2006,,0
2007,7,52,5,0,150107A201,150107,2,1,0,4,3,1,27-02-2007,0707150107A20115010701,1,11,27-02-2007,,0
2007,7,52,5,0,150107A201,150107,0,1,0,1,0,0,27-02-2007,0707150107A20115011801,1,2,27-02-2007,,0
2007,7,52,5,0,150107A201,150107,0,2,0,0,0,0,27-02-2007,0707150107A20115010301,1,2,27-02-2007,,0
2007,8,52,5,0,150107A201,150107,1,2,4,1,6,0,27-02-2007,0708150107A20115010701,1,14,27-02-2007,,0
2007,8,52,5,0,150107A201,150107,0,0,1,1,3,0,27-02-2007,0708150107A20115011801,1,5,27-02-2007,,0
2007,9,52,5,0,150107A201,150107,0,4,0,2,4,0,06-03-2007,0709150107A20115010701,1,10,06-03-2007,,0
2007,9,52,5,0,150107A201,150107,0,0,2,1,0,0,06-03-2007,0709150107A20115011801,1,3,06-03-2007,,0
2007,10,52,5,0,150107A201,150107,0,1,1,2,6,0,13-03-2007,0710150107A20115010701,1,10,13-03-2007,,0
2007,10,52,5,0,150107A201,150107,1,0,0,1,2,1,13-03-2007,0710150107A20115011801,1,5,13-03-2007,,0
2007,11,52,5,0,150107A201,150107,1,4,0,1,5,0,20-03-2007,0711150107A20115010701,1,11,20-03-2007,,0
2007,11,52,5,0,150107A201,150107,0,1,0,0,1,0,20-03-2007,0711150107A20115011801,1,2,20-03-2007,,0
2007,12,52,5,0,150107A201,150107,1,3,2,0,3,0,27-03-2007,0712150107A20115010701,1,9,27-03-2007,,0
2007,12,52,5,0,150107A201,150107,0,1,0,0,0,0,27-03-2007,0712150107A20115011801,1,1,27-03-2007,,0
2007,13,52,5,0,150107A201,150107,1,0,1,1,1,0,03-04-2007,0713150107A20115010701,1,4,03-04-2007,,0
